127.0.0.1, 2016-06-02 09:10:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:11:07, GET, /admin/default/change_password, HTTP/1.1, 200, 0.441000
127.0.0.1, 2016-06-02 09:11:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:11:17, GET, /admin/default/site, HTTP/1.1, 200, 0.247000
127.0.0.1, 2016-06-02 09:11:19, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-06-02 09:38:20, POST, /admin/default/site, HTTP/1.1, 303, 1.158000
127.0.0.1, 2016-06-02 09:38:21, GET, /admin/default/design/crie3, HTTP/1.1, 200, 1.396000
127.0.0.1, 2016-06-02 09:38:21, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:38:22, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-06-02 09:38:22, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.029000
127.0.0.1, 2016-06-02 09:38:22, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-06-02 09:38:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:38:26, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-06-02 09:38:30, GET, /admin/default/test/crie3, HTTP/1.1, 200, 0.501000
127.0.0.1, 2016-06-02 09:38:31, GET, /favicon.ico, HTTP/1.1, 400, 0.009000
127.0.0.1, 2016-06-02 09:38:33, POST, /crie3/default/_TEST, HTTP/1.1, 200, 2.857000
127.0.0.1, 2016-06-02 09:38:33, POST, /crie3/appadmin/_TEST, HTTP/1.1, 200, 2.937000
127.0.0.1, 2016-06-02 09:38:35, GET, /admin/default/design/crie3, HTTP/1.1, 200, 0.945000
127.0.0.1, 2016-06-02 09:38:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:38:58, GET, /admin/default/site, HTTP/1.1, 200, 0.335000
127.0.0.1, 2016-06-02 09:39:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:39:21, GET, /admin/gae/deploy, HTTP/1.1, 303, 0.129000
127.0.0.1, 2016-06-02 09:39:21, GET, /admin/default/site, HTTP/1.1, 200, 0.343000
127.0.0.1, 2016-06-02 09:39:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:39:40, GET, /admin/wizard/index, HTTP/1.1, 200, 0.611000
127.0.0.1, 2016-06-02 09:39:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:40:16, POST, /admin/wizard/index, HTTP/1.1, 303, 0.099000
127.0.0.1, 2016-06-02 09:40:17, GET, /admin/wizard/step1, HTTP/1.1, 200, 1.315000
127.0.0.1, 2016-06-02 09:40:18, GET, /admin/static/_2.14.6/plugin_multiselect/switch.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:40:19, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-06-02 09:42:31, POST, /admin/wizard/step1, HTTP/1.1, 303, 0.170000
127.0.0.1, 2016-06-02 09:42:32, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.231000
127.0.0.1, 2016-06-02 09:42:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:42:50, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.212000
127.0.0.1, 2016-06-02 09:42:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:43:03, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.153000
